LOCATION ACCOUNT #,names,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,zip,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000024755-0002-7,JOSHUA WINTRINGHAM,,17502 CHASE STREET,NORTHRIDGE,91325-3918,91331,17502 CHASE 91325-3918,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",12,1/1/2014,,"(34.2237, -118.5148)"
0000132615-0001-3,MAS IRON CO,,1850 E 61ST STREET,LOS ANGELES,90001-1424,91335,1850 61ST 90001-1424,,,,,,0,2/20/2004,,"(33.9847, -118.24)"
0002200870-0001-0,CEYLON INC,,200 PARK AVENUE S FLOOR #8,NEW YORK,10003-1526,91340,200 PARK 10003-1526,,,,,,0,11/1/2002,,"(40.7365, -73.989)"
0002335391-0001-1,HUGO C MENDOZA,J.H.K. CLEANING COMPANY,6528 WOODLEY AVENUE APARTMENT #106,VAN NUYS,91406-6427,91342,6528 WOODLEY 91406-6427,,,,541990,"All other professional, scientific, & technical services",6,1/1/2006,,"(34.1892, -118.4836)"
0002667325-0001-4,KRISTINE DE LA VARA,,10855 DE SOTO AVENUE,CHATSWORTH,91311-1547,91343,10855 DE SOTO 91311-1547,,,,812112,Beauty salons,12,1/1/2013,,"(34.2672, -118.5885)"
0002555615-0001-9,EVELYN GUTIERREZ,,20255 GAULT STREET,WINNETKA,91306-3544,91344,20255 GAULT 91306-3544,,,,621340,"Offices of physical, occupational & speech therapists, & audiologists",3,4/18/2011,,"(34.1992, -118.5746)"
0000385477-0001-2,RAMON B DONATO,,5063 SHEARIN AVENUE,LOS ANGELES,90041-2025,91345,5063 SHEARIN 90041-2025,,,,,,14,8/12/1996,,"(34.1385, -118.2105)"
0002608356-0001-9,JASON FOX,LAW OFFICES OF JASON D FOX,10568 BRADBURY ROAD,LOS ANGELES,90064-3302,91350,10568 BRADBURY 90064-3302,,,,541100,Legal services,5,1/1/2011,,"(34.0385, -118.4174)"
0003008763-0001-3,CHRISTIAN A. EHLERS,,317   ROSECRANS AVENUE,MANHATTAN BEACH,90266-3241,91351,317 ROSECRANS 90266,317   ROSECRANS AVENUE,MANHATTAN BEACH,90266-3241,233320,Commercial and Institutional Building Construction (1997 NAICS),0,9/1/2017,,"(33.9014, -118.4174)"
0002469144-0001-4,LAW OFFICES OF OLIVER J VASQUEZ,,1055 W 7TH STREET SUITE #2800,LOS ANGELES,90017-2554,91352,1055 7TH 90017-2554,1055 W 7TH STREET SUITE #2800,LOS ANGELES,90017-2554,541100,Legal services,1,9/1/2009,,"(34.0507, -118.2638)"
0002740947-0001-1,5TH HARVARD LLC,,254 W SLAUSON AVENUE,LOS ANGELES,90003-1147,91354,254 SLAUSON 90003-1147,947 S GRAMERCY DRIVE,LOS ANGELES,90019-2209,522300,Activities related to credit intermediation (including loan brokers),9,8/1/2013,,"(33.9891, -118.2775)"
0002030518-0001-8,GEORGE A FOSTER,FOSTER FLOORING,3540 DAHLIA CIRCLE,SEAL BEACH,90740-2843,91355,3540 DAHLIA 90740-2843,,,,235520,Floor Laying and Other Floor Contractors (1997 NAICS),0,3/21/2005,,"(33.7749, -118.0564)"
0000714550-0001-1,SUSAN M JAY,,11500 W OLYMPIC BLVD #500,LOS ANGELES,90064-1569,91356,11500 OLYMPIC 90064-1569,,,,621399,Offices of all other miscellaneous health practitioners,11,1/1/1989,,"(34.0364, -118.4441)"
0002354762-0001-3,GREGORY DAVID SCHWARTZ,BOTTOM OF THE NINTH,8485 VAL VERDE DRIVE,WEST HILLS,91304-2134,91361,2432 OCEAN 90291-4642,8485 VAL VERDE DRIVE,CANOGA PARK,91304-2134,423920,Toy & hobby goods & supplies,12,1/1/2008,,"(34.2264, -118.6529)"
0000000568-0001-8,LIVING WAY INC,,4419 EAGLE ROCK BLVD,LOS ANGELES,90041-3212,91362,4419 EAGLE ROCK 90041-3212,,,,623000,Nursing & residential care facilities,14,9/10/1997,,"(34.1246, -118.2203)"
0002488604-0002-4,FILIBERTO ROMO TOVAR,,6255 BECK AVENUE APARTMENT #104,N HOLLYWOOD,91606-4038,91364,6255 BECK 91606-4038,,,,233210,Single Family Housing Construction (1997 NAICS),2,1/1/2011,,"(34.1839, -118.3834)"
0000046912-0001-4,DELTA PIPELINE INC,,1407 FOOTHILL BLVD #232,LA VERNE,91750-3451,91367,1407 FOOTHILL 91750-3451,,,,,,0,5/4/1999,,"(34.1172, -117.7767)"
0002280295-0001-1,4 UNIT BARRINGTON AVE LLC,,1828 S BARRINGTON AVENUE,LOS ANGELES,90025-5317,91371,1828 BARRINGTON 90025-5317,11728 WILSHIRE BLVD #B111,LOS ANGELES,90025-6402,531100,Lessors of real estate (including mini warehouses & self-storage units),11,1/1/2000,,"(34.0395, -118.4524)"
0003007574-0001-8,"SEEKERS INTERNATIONAL TRADING GROUP, LLC",,8549   WILSHIRE BLVD   SUITE #1093,BEVERLY HILLS,90211-3104,91377,8549 WILSHIRE 90211,8549   WILSHIRE BLVD   SUITE #1093,BEVERLY HILLS,90211-3104,424400,Grocery & related products,0,9/5/2017,,"(34.0657, -118.3778)"
0000859593-0001-7,ARGYLE RESTORATION PARTNERSHIP,,2017 ARGYLE AVENUE,HOLLYWOOD,90068-3358,91381,2017 ARGYLE 90068-3358,POST OFFICE BOX #3574,HOLLYWOOD,90078-3574,531100,Lessors of real estate (including mini warehouses & self-storage units),4,8/17/1997,,"(34.1076, -118.3252)"
0002274219-0001-3,KTLM INVESTMENT PROPERTY LLC,,818 N BROADWAY UNIT #112,LOS ANGELES,90012-2340,91384,818 BROADWAY 90012-2340,818 N BROADWAY UNIT #112-A,LOS ANGELES,90012-2380,531100,Lessors of real estate (including mini warehouses & self-storage units),1,7/22/2006,,"(34.0626, -118.2381)"
0002666191-0001-8,ENCARNACION S. GUERRERO,ENCARNACION S GUERRERO DDS,20600 LEADWELL STREET,WINNETKA,91306-2818,91387,20600 LEADWELL 91306-2818,,,,621111,Offices of physicians (except mental health specialists),3,2/1/2012,,"(34.2038, -118.5819)"
0003007521-0001-6,JADMAM CORP,,1817 E 46TH  STREET,LOS ANGELES,90058-,91390,1817 46TH  90058-,,,,452000,General merchandise stores,9,1/1/2015,,"(34.0017, -118.2403)"
0002295609-0001-2,REBECCA L ALLING,,4196 MARCASEL AVENUE,LOS ANGELES,90066-4620,91401,4196 MARCASEL 90066-4620,,,,812990,All other personal services,0,1/1/2004,,"(33.9977, -118.4218)"
0000615887-0001-1,SELMA HUDSON COMMUNITY LP,CASA VERDE APARTMENTS,1552 SCHRADER BLVD,LOS ANGELES,90028-7213,91402,1552 SCHRADER 90028-7213,5020 SANTA MONICA BLVD,LOS ANGELES,90029-2412,531100,Lessors of real estate (including mini warehouses & self-storage units),13,1/1/2000,,"(34.0989, -118.3324)"
0000085812-0001-4,"CLEAN KING LAUNDRY SYSTEMS, INC",,3726 N MISSION ROAD,LOS ANGELES,90031-3157,91403,3726 MISSION 90031-3157,POST OFFICE BOX #8689,NORTHRIDGE,91327-8689,812310,Coin-operated laundries & drycleaners,1,8/10/1994,,"(34.0689, -118.2003)"
0002059510-0001-0,NISPEROS PROPERTIES LLC,,8105 APPERSON STREET,SUNLAND,91040-3132,91405,8105 APPERSON 91040-3132,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),7,1/1/1985,,"(34.256, -118.3094)"
0000122959-0001-4,STEPHAN KLEIN,,5818 VENICE BLVD,LOS ANGELES,90019-5019,91406,5818 VENICE 90019-5019,,,,233210,Single Family Housing Construction (1997 NAICS),10,1/6/2006,,"(34.0417, -118.3661)"
0000125146-0001-3,VARTEN/HARUTYUN KAVAFYAN,ARTS SUBS,20855 VENTURA BLVD #9,WOODLAND HILLS,91364-0840,91411,20855 VENTURA 91364-0840,,,,722110,Full-service restaurants,3,10/16/1994,,"(34.1663, -118.5872)"
0002976920-0001-6,LUKE DENNIS,,1541 N MARTEL AVENUE   APARTMENT #309,LOS ANGELES,90046-3642,91423,1541 MARTEL 90046-3642,1541 N MARTEL AVENUE   APARTMENT #309,LOS ANGELES,90046-3642,711510,"Independent artists, writers, & performers",4,1/1/2016,,"(34.0994, -118.3505)"
0000740322-0001-3,4209 S ALAMEDA LLC,,4209 S ALAMEDA STREET,VERNON,90058-1601,91436,4209 ALAMEDA 90058-1601,338 12TH STREET,SANTA MONICA,90402-2014,531100,Lessors of real estate (including mini warehouses & self-storage units),0,11/30/2000,,"(34.0057, -118.2393)"
0000209711-0001-1,LARMIKS INC,,10520 ISADORA LANE,LOS ANGELES,90077-3108,91501,10520 ISADORA 90077-3108,269 S BEVERLY DRIVE   SUITE #445,BEVERLY HILLS,90212-3851,,,5,7/5/2000,,"(34.0987, -118.4456)"
0002464256-0001-9,EB PSYCHOTHERAPY INC,,2001 S BARRINGTON AVENUE   #314,LOS ANGELES,90025-5363,91502,2001 BARRINGTON 90025-5363,2001 S BARRINGTON AVENUE #219,LOS ANGELES,90025-5385,541990,"All other professional, scientific, & technical services",11,9/22/2009,,"(34.0364, -118.4502)"
0002215225-0001-8,ROSALIE CARMEN PONCE,,5401 HUNTINGTON DRIVE N,LOS ANGELES,90032-1323,91504,5401 HUNTINGTON 90032-1323,4108 STILLWELL AVENUE,LOS ANGELES,90032-1230,,,14,1/1/2003,,"(34.0922, -118.1628)"
0002999927-0001-2,RYAN KORETOFF,FINANCIAL EXCEL,1444   15TH STREET   APARTMENT #2,SANTA MONICA,90404-2730,91505,1444 15TH 90404-2730,1444   15TH STREET   UNIT #2,SANTA MONICA,90404-2730,541600,"Management, scientific, & technical consulting services",0,2/28/2015,,"(34.0237, -118.4839)"
0002772865-0001-5,ERIKA ALVAREZ,,145 N BONNIE BEACH PLACE,LOS ANGELES,90063-1803,91506,145 BONNIE BEACH 90063,145 N BONNIE BEACH PLACE,LOS ANGELES,90063-1803,,,0,7/1/2014,,"(34.037, -118.1806)"
0003008429-0001-1,WHOLESUM BREAD COMPANY,,8206   SAN FERNANDO ROAD,SUN VALLEY,91352-3218,91601,8206 SAN FERNANDO 91352-3218,,,,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,9/21/2017,,"(34.2198, -118.3688)"
0000314173-0001-8,JARNDYCE & JARNDYCE INC,,4522 KRAFT AVENUE,STUDIO CITY,91602-2008,91602,4522 KRAFT 91602-2008,,,,711300,"Promoters of performing arts, sports, & similar events",2,2/6/1998,,"(34.1526, -118.38)"
0003007322-0001-4,KEVIN CHROMAN,,5156   BELLAIRE AVENUE,VALLEY VILLAGE,91607-2908,91604,5156 BELLAIRE 91607-2908,,,,541100,Legal services,2,1/1/2015,,"(34.1647, -118.4091)"
0002490253-0001-5,JULIE A. WETZEL,,12916 WINTHROP AVENUE,GRANADA HILLS,91344-1223,91605,12916 WINTHROP 91344-1223,,,,541600,"Management, scientific, & technical consulting services",12,1/1/2010,,"(34.3048, -118.5077)"
0002344478-0001-3,DENNIS TINERINO MINISTRIES,,9017 RESEDA BLVD SUITE #200A,NORTHRIDGE,91324-3993,91606,9017 RESEDA 91324-3993,POST OFFICE BOX #280326,NORTHRIDGE,91328-0326,541990,"All other professional, scientific, & technical services",12,1/1/2005,,"(34.2341, -118.536)"
0000068061-0001-1,"KATHRYN FALLON / WENDY LIT, OPTOMETRISTS",DRS KATHRYN FALLON AND WENDY LIT OPTOMETRISTS,6700 FALLBROOK AVENUE #190,WEST HILLS,91307-3583,91607,6700 FALLBROOK 91307-3583,,,,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",12,5/1/1993,,"(34.1921, -118.6233)"
0002311615-0001-3,THOMAS LARSEN,,9136 LEMONA AVENUE,NORTH HILLS,91343-7819,91608,9136 LEMONA 91343-7819,,,,541990,"All other professional, scientific, & technical services",7,11/30/2003,,"(34.2362, -118.4588)"
0000856974-0001-5,SANTOS CERVANTES,,10406 HADDON AVENUE,PACOIMA,91331-3016,91702,10406 HADDON 91331-3016,,,,,,7,1/1/2000,,"(34.2593, -118.4269)"
0002956315-0001-3,HORIZON DESIGN & RENOVATION INC,,1852 S SEPULVEDA BLVD,LOS ANGELES,90025-4314,91706,1852 SEPULVEDA 90025-4314,,,,541600,"Management, scientific, & technical consulting services",5,8/1/2016,,"(34.0452, -118.4421)"
0000940392-0001-0,SIMON ELDON-EDINGTON,,14431   VENTURA BLVD   #292,SHERMAN OAKS,91423-2606,91709,14431 VENTURA 91423-2606,14431   VENTURA BLVD   #292,SHERMAN OAKS,91423-2606,561500,Travel arrangement & reservation services,4,6/1/2000,,"(34.1508, -118.4472)"
0002577331-0001-1,WESTMOUNT PACIFIC LLC,,2049 CENTURY PARKS  E SUITE #2500,LOS ANGELES,90067-3127,91710,2049 CENTURY 90067-3127,,,,541990,"All other professional, scientific, & technical services",5,1/2/2009,,"(34.0591, -118.4126)"
0000824358-0001-3,THE SKID ROW HOUSING TRUST /C,,1317 E 7TH STREET,LOS ANGELES,90021-1101,91711,1317 7TH 90021-1101,,,,233220,Multifamily Housing Construction (1997 NAICS),14,1/1/1989,,"(34.0363, -118.2405)"
0000205342-0001-4,Z PHOTOGRAPHIC,,423 W 14RH STREET   #425,NEW YORK,10014-,91722,423 14RH 10014-,,,,541920,Photographic services,0,,,"(0, 0)"
0000022166-0001-3,CHRIS WEERT S ET AL,111535 VENICE BL PARTNERS LP,11535 VENICE BLVD,LOS ANGELES,90066-4047,91723,11535 VENICE 90066-4047,1516 S BUNDY DRIVE #304,LOS ANGELES,90025-2676,531100,Lessors of real estate (including mini warehouses & self-storage units),11,1/1/1999,,"(34.0092, -118.4236)"
0002493742-0001-0,JULIE SAFLEY,KILLER CONFECTIONS,4310 PARK PALOMA,CALABASAS,91302-1790,91724,4310 PARK PALOMA 91302-1790,4310 PARK PALOMA,CALABASAS,91302-1790,722300,Special food services (including food service contractors & caterers),0,3/25/2010,,"(34.1475, -118.6311)"
0000261096-0001-5,ROBERT BABAIAN,WIRE WORKS DENTAL LAB,1528 CANADA BLVD #208,GLENDALE,91208-3204,91731,1528 CANADA 91208-3204,1146 N CENTRAL AVENUE #173,GLENDALE,91202-2506,,,0,1/1/1994,,"(34.1695, -118.229)"
0002056200-0125-3,PCAM LLC,PARKING CO OF AMEIRCA,4605   LANKERSHIM BLVD,N HOLLYWOOD,91602-1818,91732,4605 LANKERSHIM 91602-1818,3165   GARFIELD AVENUE,COMMERCE,90040-3217,812930,Parking lots & garages,2,5/15/2016,,"(34.1539, -118.3685)"
0002354154-0001-0,JOSE CASTELLANOS VILLARREAL,,1217   5TH AVENUE,LOS ANGELES,90019-3446,91733,1217 5TH 90019-3446,1217   5TH AVENUE,LOS ANGELES,90019-3446,541990,"All other professional, scientific, & technical services",10,11/1/2005,,"(34.0495, -118.3218)"
0002493338-0001-1,FRANCISCO J SEGURA,,1233 N GOWER STREET,LOS ANGELES,90038-1881,91740,1233 GOWER 90038-1881,,,,541990,"All other professional, scientific, & technical services",13,1/1/2008,,"(34.0931, -118.3222)"
0000255215-0001-1,4334-4346 MATILIJA LLC,4334-4346 MATILIJA LLC,4334 MATILIJA AVENUE,VAN NUYS,91423-3660,91741,4334 MATILIJA 91423-3660,6464 W SUNSET BLVD UNIT #710,LOS ANGELES,90028-8009,531100,Lessors of real estate (including mini warehouses & self-storage units),4,2/22/1996,,"(34.1493, -118.434)"
0002231618-0001-4,TIRSO DEL JUNCO JR. MD,,14860   ROSCOE BLVD   SUITE #200,PANORAMA CITY,91402-4683,91744,14860 ROSCOE 91402-4683,,,,,,6,3/9/2007,,"(34.2209, -118.4573)"
0003008323-0001-6,DIG CORTINA CONSULTING LLC,,825   ALMA REAL DRIVE,PACIFIC PALISADES,90272-3705,91745,825 ALMA REAL 90272-3705,,,,541600,"Management, scientific, & technical consulting services",11,1/1/2017,,"(34.0432, -118.524)"
0002739568-0001-0,JUAN JUAN PEDRO,,416 S WESTLAKE AVENUE APARTMENT #209,LOS ANGELES,90057-2984,91746,416 WESTLAKE 90057-2984,,,,812990,All other personal services,1,2/1/2012,,"(34.0605, -118.2726)"
0002532751-0001-9,AZNIV BEKARIAN,,6459 VARNA AVENUE,VAN NUYS,91401-1806,91748,6459 VARNA 91401-1806,,,,423940,"Jewelry, watch, precious stone, & precious metals",2,12/3/2010,,"(34.1877, -118.4247)"
0002165027-0001-7,SANDRA C GONZALEZ,DAY BY DAY CLEANING,6150 RESEDA BLVD #103,TARZANA,91335-7323,91750,6150 RESEDA 91335-7323,POST OFFICE BOX #55184,SHERMAN OAKS,91413-0184,561720,Janitorial services,3,5/1/2003,,"(34.182, -118.536)"
0002428721-0002-8,SELIG PARKING INC,,2151 AVENUE OF THE STARS,LOS ANGELES,90067-5004,91754,2151 AVENUE OF THE STARS 90067-5004,1100 SPRING STREET NW,ATLANTA,30309-2846,812930,Parking lots & garages,5,1/1/2009,,"(34.0549, -118.4123)"
0000709093-0001-9,"CBS BROADCASTING,  INC.",,7800 BEVERLY BLVD,LOS ANGELES,90036-2112,91755,7800 BEVERLY 90036-2112,4024 RADFORD AVENUE FLOOR #6,STUDIO CITY,91604-2101,512100,Motion picture & video industries (except video rental),4,6/1/1959,,"(34.0761, -118.3594)"
0002311956-0001-7,OSCAR RAUL PEREZ NUNEZ,PHARAOHS JEWERLY REPAIR & SETTING,608 S HILL STREET SUITE #GL104,LOS ANGELES,90014-4749,91759,608 HILL 90014-4749,6321 TEMPLETON STREET APARTMENT #A,HUNTINGTON PARK,90255-4321,811490,Other personal &  household goods repair & maintenance,14,2/1/2008,,"(34.0472, -118.2531)"
0003008392-0001-7,JORGE A MATA,,12460   KITTRIDGE STREET   APARTMENT #8,NORTH HOLLYWOOD,91606-2354,91763,12460 KITTRIDGE 91606-2354,,,,561720,Janitorial services,2,1/1/2016,,"(34.1901, -118.4049)"
0002967420-0001-6,"ANVIS, INC.",,628 E CHANNEL ROAD,SANTA MONICA,90402-1316,91765,628 CHANNEL 90402-1316,30423   CANWOOD STREET   SUITE #227,AGOURA HILLS,91301-4367,531210,Offices of real estate agents & brokers,11,1/1/2016,,"(34.0375, -118.5103)"
0002115920-0042-4,DIAMOND PARKING SERVICES LLC,,864   SWARTHMORE AVENUE,PACIFIC PALISADES,90272-3605,91766,864 SWARTHMORE 90272-3605,605   1ST AVENUE   SUITE #600,SEATTLE,98104-2224,812930,Parking lots & garages,11,10/2/2017,,"(34.0462, -118.5258)"
0002057771-0001-8,LOURDES D BERNARDINO,,12207 CANYON HILL AVENUE,SYLMAR,91342-5495,91767,12207 CANYON HILL 91342-5495,,,,,,7,3/26/2003,,"(34.2927, -118.4668)"
0003006490-0001-1,"WHY WE FIGHT, LLC",,1305 N CATALINA STREET,LOS ANGELES,90027-5905,91768,1305 CATALINA 90027-5905,1305 N CATALINA STREET,LOS ANGELES,90027-5905,711510,"Independent artists, writers, & performers",13,1/2/2017,,"(34.0958, -118.2953)"
0002280968-0001-1,ANGELITO MANALO,PREMIER REAL ESTATE COMPANY,218 N NEW HAMPSHIRE AVENUE,LOS ANGELES,90004-4709,91770,218 NEW HAMPSHIRE 90004-4709,,,,531210,Offices of real estate agents & brokers,13,2/1/2007,,"(34.0748, -118.2929)"
0000655925-0001-3,GOLDEN STATE AUTO SPA INC,GOLDEN STATE CAR WASH,1506 S LA CIENEGA BLVD,LOS ANGELES,90035-3712,91773,1506 LA CIENEGA 90035-3712,26930   IRONSTONE DRIVE,YORBA LINDA,92887-4227,454210,Vending machine operators,10,6/1/2002,,"(34.0504, -118.3761)"
0003005938-0001-0,VETERINARY ANGELS INC,VETERINARY ANGELS MEDICAL CENTER,29348   ROADSIDE DRIVE   SUITE #A,AGOURA HILLS,91301-1569,91775,29348 ROADSIDE 91301-1569,29348   ROADSIDE DRIVE,AGOURA HILLS,91301-1557,541940,Veterinary services,0,10/9/2013,,"(34.1456, -118.765)"
0002683437-0001-9,WINAFFIX AUTO GLASS INC,,10336 WILSHIRE BLVD #203,LOS ANGELES,90024-4753,91776,10336 WILSHIRE 90024-4753,,,,811120,"Automotive body, paint, interior, & glass repair",5,3/15/2013,,"(34.0677, -118.4266)"
0003007353-0001-0,BOBBY ALIPANAHI,USATOPSALES.COM,5400   YARMOUTH AVENUE,ENCINO,91316-2309,91780,5400 YARMOUTH 91316-2309,17412   VENTURA BLVD   #264,ENCINO,91316-3827,337000,Furniture & related product mfg.,5,9/12/2017,,"(34.1694, -118.5198)"
0003007354-0001-4,ANTOUN DURRA / BASSAM DURRA,LUCKY 7 LIQUOR,19322   VANOWEN STREET,RESEDA,91335-5022,91784,19322 VANOWEN 91335-5022,,,,445310,"Beer, wine & liquor stores",3,9/15/2017,,"(34.1937, -118.5544)"
0002568042-0001-5,MARK HOUSLEY,,6562 SAN VICENTE BLVD,LOS ANGELES,90048-5340,91786,6562 SAN VICENTE 90048-5340,,,,711510,"Independent artists, writers, & performers",5,3/3/2008,,"(34.0636, -118.3712)"
0000528531-0001-3,ROBERT J LEE,,583 MCWILTON PLACE,ALTADENA,91001-1429,91789,583 MCWILTON 91001-1429,,,,,,0,10/16/1997,,"(34.2032, -118.131)"
0002342224-0001-6,ANA C ALVAREZ,ANANGEL CLEANING,1300 E 60TH STREET,LOS ANGELES,90001-1247,91790,1300 60TH 90001-1247,159 E 82ND STREET,LOS ANGELES,90003-2521,561720,Janitorial services,0,1/1/2004,,"(33.9852, -118.252)"
0000298243-0001-0,AMI REAL ESTATE INC,,8342 1/2 W 3RD STREET,LOS ANGELES,90048-4311,91791,8342 3RD 90048-4311,,,,,,5,1/1/1994,,"(34.0728, -118.3713)"
0000128830-0001-1,LORENDA PHILLIPS,,7913 KENTWOOD AVENUE,LOS ANGELES,90045-1152,91792,7913 KENTWOOD 90045-1152,10866 WASHINGTON BLVD #455,CULVER CITY,90232-3610,,,11,5/10/1999,,"(33.9705, -118.4018)"
0000760181-0001-7,GUILLERMINA CRISANTO SANTIBANEZ,,2535 S BURNSIDE AVENUE,LOS ANGELES,90016-2605,91801,2535 BURNSIDE 90016-2605,,,,561720,Janitorial services,10,1/1/1999,,"(34.033, -118.36)"
0000468950-0001-9,GEORGE C WILEY ET AL,,527 W 48TH STREET,LOS ANGELES,90037-3129,91803,527 48TH 90037-3129,735 W 111TH STREET,LOS ANGELES,90044-4234,531100,Lessors of real estate (including mini warehouses & self-storage units),9,5/25/1995,,"(33.9996, -118.2831)"
0002035778-0001-2,WILLCO LIU,STYLISH TECH,1168 RIDGECREST STREET,MONTEREY PARK,91754-4434,92301,1168 RIDGECREST 91754-4434,1168 RIDGECREST STREET,MONTEREY PARK,91754-4434,,,0,4/18/2005,,"(34.0497, -118.1576)"
0003007516-0001-5,FRONTEO USA INC,,811   WILSHIRE BLVD   #1400,LOS ANGELES,90017-2606,92371,811 WILSHIRE 90017-2606,611   MISSION STREET   FLOOR #3RD,SAN FRANCISCO,94105-3534,541990,"All other professional, scientific, & technical services",14,10/5/2016,,"(34.0498, -118.2582)"
0002563536-0001-4,JEFF IORILLO,,1731 REDCLIFF STREET,LOS ANGELES,90026-1131,92372,1731 REDCLIFF 90026-1131,1731 REDCLIFF STREET,LOS ANGELES,90026-1131,541800,Advertising & related services,13,10/1/2010,,"(34.0917, -118.2718)"
0000892813-0001-7,DAVID OLIVA,KERNEL SPUDS,22908 WHITE PINE PLACE,SANTA CLARITA,91390-4120,92397,22908 WHITE PINE 91390-4120,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",0,4/21/1999,,"(34.4693, -118.5363)"
0002616391-0001-2,DECHERT LLP,,633 W 5TH STREET FLOOR #37,LOS ANGELES,90071-2005,92821,633 5TH 90071-2005,2929 ARCH STREET,PHILADELPHIA,19104-2857,541100,Legal services,14,4/7/2011,,"(34.0504, -118.2542)"
0002589534-0001-1,BREEZY LEE PRODUCTIONS,,10990 WILSHIRE BLVD FLOOR #8TH,LOS ANGELES,90024-3913,92823,10990 WILSHIRE 90024-3913,10990 WILSHIRE BLVD FLOOR #8TH,LOS ANGELES,90024-3913,711510,"Independent artists, writers, & performers",5,1/21/2010,,"(34.0578, -118.4473)"
0003007888-0001-4,VOLTRON PUBLISHING LLC,,15260   VENTURA BLVD   SUITE #2100,SHERMAN OAKS,91403-5360,92833,15260 VENTURA 91403-5360,,,,511000,Publishing industries (except Internet),4,2/17/2017,,"(34.1531, -118.4657)"
0002084953-0001-3,DAVID WANG,,1116 S ARDMORE AVENUE,LOS ANGELES,90006-3257,93040,1116 ARDMORE 90006-3257,1719 HEATHER HILL ROAD,HACIENDA HEIGHTS,91745-3724,531100,Lessors of real estate (including mini warehouses & self-storage units),10,1/1/2001,,"(34.0505, -118.302)"
0002450472-0001-9,SILER REEVES GROUP INC,,326 S THURSTON AVENUE,LOS ANGELES,90049-3126,93063,326 THURSTON 90049-3126,,,,315000,Apparel mfg.,5,8/1/2005,,"(34.0694, -118.4622)"
0002636299-0001-3,"ARCHAEUS ENTERTAINMENT, INC",,501 N SPAULDING AVENUE    #1,LOS ANGELES,90036-1831,93225,501 SPAULDING 90036-1831,,,,711510,"Independent artists, writers, & performers",5,7/27/2011,,"(34.0802, -118.3573)"
0002163443-0001-4,LATERAL PERSPECTIVES INC,,8721 SANTA MONICA BLVD #602,WEST HOLLYWOOD,90069-4507,93243,8721 SANTA MONICA 90069-4507,,,,,,0,7/1/2006,,"(34.0872, -118.3806)"
0002987494-0001-2,OFO US LIMITED,,2   EMBARCADERO CENTER   SUITE #7-139,SAN FRANCISCO,94111-3823,93252,2 EMBARCADERO 94111-3823,5792 W JEFFERSON BLVD,LOS ANGELES,90016-3107,532290,Other consumer goods rental,0,5/17/2017,,"(37.7948, -122.3985)"
0002458093-0001-6,KAREN BERLINER,,119 VOYAGE MALL,MARINA DEL REY,90292-7296,93510,119 VOYAGE 90292-7296,,,,621399,Offices of all other miscellaneous health practitioners,11,1/1/2004,,"(33.9683, -118.4552)"
0002334734-0002-7,ABERCROMBIE & FITCH STORES INC,ABERCROMBIE & FITCH (#11682),10250   SANTA MONICA BLVD   SPACE #1707,LOS ANGELES,90067-6501,93523,10250 SANTA MONICA 90067-6501,6301   FITCH PATH,NEW ALBANY,43054-9269,448140,Family clothing stores,5,8/25/2017,,"(34.06, -118.4198)"
0003008551-0001-4,POWERFLO ENTERTAINMENT INC.,,16000   VENTURA BLVD   SUITE #600,ENCINO,91436-2753,93532,16000 VENTURA 91436-2753,,,,711510,"Independent artists, writers, & performers",5,5/25/2017,,"(34.1556, -118.4818)"
0003009385-0001-4,COREY BRANDT STANAWAY,SIGN SAYS,318   OAKCLIFF ROAD,MONROVIA,91016-1823,93534,318 OAKCLIFF 91016-1823,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",0,9/27/2012,,"(34.1573, -117.9867)"
0002754126-0001-0,NUNDERWIER LLC,,17921 ROSCOE BLVD APARTMENT,NORTHRIDGE,91325-3831,93535,17921 ROSCOE 91325,15534 MORRISON STREET,SHERMAN OAKS,91403-1047,531100,Lessors of real estate (including mini warehouses & self-storage units),12,4/1/2014,,"(34.2209, -118.5234)"
0002583451-0001-3,LAING SING HUANG / KARIE KHENG ING,SILVER MOON MARKET,2501 E 4TH STREET,LOS ANGELES,90033-4418,93536,2501 4TH 90033-4418,,,,424400,Grocery & related products,14,10/24/2011,,"(34.0401, -118.2106)"
0002546158-0001-7,PATRICIA SOLANO,COSMOS NEW LOOK,706 CYPRESS AVENUE,LOS ANGELES,90065-1102,93543,706 CYPRESS 90065-1102,,,,812990,All other personal services,1,2/10/2011,,"(34.0909, -118.2235)"
